公司代码_CompanyCode,证券代码_R_SecuCode,上市公司代码_Comcd,股票代码_Stkcd,最新股票名称_Lstknm,交易时股票代码_Stkcdotrd,上市状态_Listedstate,ISIN编码_ISIN,日期_Date,开盘价_Oppr,最高价_Hipr,最低价_Lopr,收盘价_Clpr,成交量_Trdvol
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-04-27,6.0,6.0,6.0,6.0,137700.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-04-28,6.15,6.31,6.0,6.31,56900.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-04-30,6.88,6.88,6.88,6.88,1000.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-05-11,6.17,6.17,6.17,6.17,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-05-29,6.98,6.98,6.98,6.98,2000.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-06-01,6.31,6.31,6.31,6.31,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-06-03,6.68,6.68,6.67,6.67,2967300.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-06-04,6.5,6.5,6.5,6.5,200.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-06-05,6.5,6.5,6.5,6.5,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-06-09,6.5,6.5,6.5,6.5,2000.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-06-10,6.88,6.88,6.88,6.88,9000.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-06-16,7.0,7.0,7.0,7.0,1400.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-06-24,7.0,7.0,7.0,7.0,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-06-29,7.11,7.11,7.11,7.11,3000.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-06-30,7.2,7.2,7.2,7.2,2400.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-07-02,7.0,7.02,7.0,7.02,400.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-07-07,7.2,7.38,7.2,7.38,200.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-07-09,12.0,12.0,12.0,12.0,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-07-10,7.39,7.39,7.38,7.38,200.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-07-13,12.0,12.0,9.0,9.0,1000.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-07-15,7.38,12.0,7.38,12.0,300.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-07-29,11.99,11.99,11.99,11.99,1100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-08-06,11.99,11.99,11.99,11.99,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-08-17,7.17,14.0,7.17,14.0,400.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-08-20,7.8,14.0,7.8,14.0,1401.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-08-21,9.01,12.99,9.01,12.69,499.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-08-31,11.92,11.92,11.92,11.92,1000.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-09-17,9.71,9.71,9.71,9.71,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-09-18,11.9,11.9,11.9,11.9,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-09-28,9.89,11.98,9.89,11.98,300.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-10-14,9.76,9.76,9.76,9.76,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-10-15,12.88,12.88,11.18,12.18,1200.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-10-16,18.88,18.88,18.67,18.67,200.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-10-26,18.67,18.67,18.67,18.67,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-10-28,18.67,18.67,18.67,18.67,999.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-10-30,10.68,12.98,10.68,12.98,700.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-11-02,11.8,25.88,11.8,25.88,1400.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-11-05,25.89,25.89,25.89,25.89,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-11-10,25.89,25.9,25.89,25.9,1500.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-11-20,18.8,18.8,18.8,18.8,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-11-23,25.88,25.88,25.88,25.88,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2020-12-08,25.89,25.89,25.89,25.89,300.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-01-13,15.8,25.9,15.5,15.5,2300.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-01-14,15.5,25.88,15.5,25.88,200.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-01-15,15.0,24.99,15.0,24.99,1100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-01-20,22.0,22.0,15.8,15.8,200.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-01-21,25.0,25.0,25.0,25.0,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-02-03,12.5,12.51,12.5,12.51,18401.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-02-04,14.55,14.55,14.52,14.52,1399.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-02-08,14.51,14.88,14.5,14.51,8218.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-02-09,10.05,10.05,10.05,10.05,1.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-02-10,17.2,17.2,17.2,17.2,2100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-02-18,17.0,20.0,17.0,20.0,6501.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-02-19,23.0,23.0,21.01,21.02,3080.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-02-23,22.0,24.0,22.0,24.0,671.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-02-26,22.0,22.0,21.81,21.81,200.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-03-03,21.99,21.99,21.99,21.99,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-03-04,23.88,23.88,23.88,23.88,600.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-03-05,23.9,23.9,23.9,23.9,500.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-03-10,24.0,24.0,24.0,24.0,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-03-11,23.89,24.6,23.89,24.6,200.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-03-18,24.6,25.0,24.6,25.0,3400.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-03-22,25.0,25.0,25.0,25.0,500.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-03-24,25.0,25.0,25.0,25.0,1882.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-03-25,25.5,26.01,25.5,26.01,626.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-03-31,26.5,26.5,26.5,26.5,100.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-04-01,27.0,27.0,27.0,27.0,1000.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-04-07,28.0,28.0,28.0,28.0,2000.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-04-08,28.0,28.0,28.0,28.0,500.0
257590,18_871753,C871753,871753,天纺标,871753,Norm,CNE100005LQ7,2021-04-22,27.9,27.9,27.9,27.9,2000.0
